"","CON02_T1","CON05_T1","CON06_T1","CON07_T1","CON08_T1","CON09_T1","CON10_T1","CON11_T1","CON12_T1","CON13_T1","CON14_T1","CON17_T1","CON18_T1","CON19_T1","CON20_T1","CON21_T1","CON22_T1"
"ABLIM1",2977,4054,3747,3227,3916,7778,3478,1537,2391,2533,3513,5464,9914,8407,2328,1679,2144
"ABLIM2",28,34,35,24,28,48,17,10,15,7,12,39,70,46,16,9,10
"ABLIM3",81,176,219,545,546,196,88,197,163,128,185,307,390,248,389,253,282
"ABO",58,22,43,29,248,509,287,11,18,42,72,39,58,52,36,44,5
"ABR",1513,2649,3025,2707,1692,2566,1767,2009,1977,2127,2561,2362,3978,5327,1477,2269,1414
"ABR-AS1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ABRA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABRACL",806,642,982,559,870,1718,613,501,462,602,481,905,1701,1170,658,684,590
"ABRAXAS1",258,394,377,246,451,1037,318,156,190,314,285,433,774,767,222,288,239
"ABRAXAS1P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABRAXAS1P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABRAXAS2",369,456,599,457,339,754,298,243,315,345,352,500,854,870,255,331,268
"ABT1",1004,1015,1434,1124,759,1792,730,617,625,851,644,1090,1987,1729,695,902,592
"ABT1P1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABTB1",6965,14287,17591,13940,7083,11818,8201,12281,9602,10562,11379,6089,10426,22240,9432,13076,7002
"ABTB2",117,75,54,47,72,67,42,116,80,52,287,108,201,100,56,51,39
"ABTB3",326,440,626,414,300,568,249,135,222,248,234,478,816,604,188,355,235
"ACAA1",1741,2400,3488,2600,1631,3158,1754,1907,1420,2100,2183,1903,3132,3200,1394,1622,1367
"ACAA2",781,856,1357,1138,608,973,442,365,353,650,608,644,1330,968,538,634,379
"ACAA2P1",8,9,10,4,3,16,2,0,1,8,5,6,9,4,5,0,3
"ACACA",182,204,257,243,188,426,173,144,185,216,260,336,539,506,101,160,97
"ACACB",277,323,264,316,325,435,321,150,212,167,515,448,732,646,131,186,126
"ACAD10",336,616,595,588,413,728,397,337,327,393,446,611,943,946,294,376,276
"ACAD11",7,20,19,18,15,64,22,5,8,5,6,20,25,57,12,2,5
"ACAD8",471,605,624,735,472,1037,478,400,305,466,411,577,954,1057,433,360,311
"ACAD9",331,967,1097,882,411,782,330,208,338,432,310,596,946,915,450,300,266
"ACADL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACADM",303,409,481,367,391,1000,374,216,248,268,355,469,892,918,282,304,260
"ACADS",296,407,513,412,250,549,258,183,235,278,233,399,609,515,213,254,243
"ACADSB",266,358,350,321,313,775,288,172,208,223,173,415,697,753,153,254,184
"ACADVL",2458,3582,4565,4348,2350,4099,2339,2300,1923,2681,2574,2562,4928,4775,2001,2702,1746
"ACAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACAP1",4774,6979,7828,6027,4753,9978,5074,4423,3724,5035,4930,6443,10635,10069,3615,4162,2836
"ACAP2",1640,3079,3784,2488,1975,3847,2498,2388,2556,1944,2834,2806,4555,6598,1602,2519,1457
"ACAP2-IT1",5,18,15,7,17,34,8,4,12,2,14,30,35,56,8,10,3
"ACAP3",542,896,1116,1061,694,1294,555,612,595,689,808,983,1571,1418,504,585,500
"ACAT1",283,254,369,290,290,640,264,126,162,230,144,303,566,478,222,208,190
"ACAT2",366,327,369,359,327,802,243,193,197,292,194,360,617,588,261,284,267
"ACBD3",554,689,855,640,531,1227,485,484,594,535,595,905,1463,1529,372,557,411
"ACBD3-AS1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ACBD4",213,314,407,317,312,562,227,142,214,218,220,361,590,539,176,221,146
"ACBD5",349,621,740,569,414,898,428,334,402,358,369,598,970,1128,307,518,294
"ACBD6",440,674,701,554,452,1033,448,390,302,454,400,661,1132,1017,299,322,297
"ACBD7",5,1,0,1,0,5,1,2,1,2,1,7,5,3,2,2,5
"ACCS",635,381,350,390,256,523,224,138,170,222,269,429,667,1363,134,242,183
"ACCSL",1,0,0,1,1,2,0,1,0,0,1,0,4,0,0,3,0
"ACCSLP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACD",463,521,696,573,413,767,364,355,358,440,384,545,864,744,328,413,275
"ACE",16,31,40,25,13,35,14,11,8,15,13,23,32,56,12,9,3
"ACE2",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"ACE2-DT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACE3P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACER1",21,25,29,12,23,38,6,13,10,20,18,10,49,30,12,8,7
"ACER2",10,20,21,25,27,36,14,2,11,5,17,35,51,42,14,8,6
"ACER2P1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ACER3",390,440,608,458,519,841,467,496,323,382,507,540,722,680,298,383,261
"ACER3-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACHE",7,12,24,21,8,5,3,5,17,6,5,0,4,7,48,5,13
"ACIN1",3132,5725,5128,5121,3725,7950,3673,3225,3331,3158,4860,5553,9196,9784,2764,2994,2273
"ACKR1",0,1,1,4,0,5,0,0,0,27,0,0,0,24,2,0,0
"ACKR2",14,8,14,8,8,13,7,5,8,7,17,8,16,17,5,3,12
"ACKR3",93,104,146,92,40,228,94,35,54,62,45,86,201,187,51,67,61
"ACKR4",0,0,3,5,0,17,3,0,1,0,2,1,7,4,1,0,0
"ACKR4P1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ACLY",1741,2603,2697,2518,1698,2922,1488,1467,1776,1216,2272,2489,4324,4217,1300,1299,1235
"ACMSD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACNATP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACO1",148,223,302,263,137,244,150,138,138,171,145,274,390,426,114,145,118
"ACO2",1213,1727,2072,1949,1168,1842,1014,1078,1196,1261,1349,1579,2756,2646,1030,1015,955
"ACO2P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACO2P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACOD1",0,2,2,3,0,0,0,0,1,0,1,1,1,1,0,0,0
"ACOT1",2,0,2,4,1,5,0,0,1,0,0,0,7,1,1,0,1
"ACOT11",65,35,29,36,47,29,27,24,40,24,92,46,86,40,13,13,7
"ACOT12",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"ACOT13",108,118,115,100,145,303,123,78,72,103,94,170,281,279,135,138,90
"ACOT2",77,90,116,113,64,144,71,37,59,76,49,103,182,150,61,58,67
