Gene	GSM3288224_Sample_01-TI_Fe73	GSM3288229_Sample_03-TITD_Fe46	GSM3288232_Sample_04-TITD_Fe50	GSM3288235_Sample_05-TITD_Fe80	GSM3288238_Sample_06-TITD_Fe28	GSM3288241_Sample_07-TI_Fe77	GSM3288246_Sample_09-TITD_tripletC	GSM3288249_Sample_10-TI_tripletH	GSM3288252_Sample_11-TITD_tripletQ	GSM3288255_Sample_12-TITD_tripletW	GSM3288256_Sample_12-TITD_exTM_tripletW	GSM3288258_Sample_13-TITD_tripletS	GSM3288261_Sample_14-TI_tripletA	GSM3288264_Sample_15-TITD_tripletG	GSM3288268_Sample_16-TITD_tripletJ	GSM3288276_Sample_18-TI_tripletT
TCIRG1	22599	1543	1194	1892	1235	4573	1700	2059	2736	421	902	12820	1493	1877	1744	1121
TCL1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCL1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCL6	4	1	0	1	1	2	0	1	3	1	0	9	0	1	3	1
TCN1	1	30	64	16	84	371	7	12	17	4	11	197	14	35	23	16
TCN2	115	87	68	32	131	666	35	56	29	8	25	1009	57	148	57	17
TCOF1	2246	1370	885	1807	1245	1143	806	352	1268	254	538	1430	901	859	819	679
TCONS_00029157	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
TCP1	716	3490	2549	4222	3370	2435	562	165	1863	1133	3048	2142	2310	2741	3352	3012
TCP10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCP10L	8	2	5	8	8	33	10	2	11	3	3	40	10	28	12	6
TCP10L2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCP11	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0
TCP11L1	125	71	54	87	98	83	58	100	170	79	145	234	103	167	183	172
TCP11L2	0	82	80	126	96	211	46	39	133	1948	1910	69	87	102	836	795
TCP11X2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCTA	621	451	318	316	453	531	129	115	344	231	331	638	244	704	327	330
TCTE1	0	0	1	3	1	1	1	0	0	0	0	0	1	3	0	1
TCTE3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCTEX1D1	55	8	4	3	9	32	10	4	3	2	7	293	6	5	10	3
TCTEX1D2	83	148	55	184	99	64	89	102	355	51	89	242	186	255	294	168
TCTEX1D4	0	0	3	2	3	12	1	1	2	0	1	12	3	1	0	1
TCTN1	172	135	81	79	104	76	4	6	22	8	18	60	14	74	30	18
TCTN2	242	213	119	143	123	103	64	28	92	36	80	181	90	152	115	88
TCTN3	367	582	420	446	441	530	156	65	370	110	332	707	258	693	387	356
TDG	96	296	178	499	250	141	159	75	412	160	345	470	213	298	432	308
TDGF1	1	1	0	3	0	3	5	2	4	2	6	8	3	3	2	0
TDGF1P3	47	0	3	5	2	5	5	17	4	7	5	22	3	2	6	7
TDH	0	2	1	22	1	1	12	32	55	79	156	194	72	54	98	89
TDO2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TDP1	324	448	310	321	447	381	168	143	557	180	552	568	355	929	561	484
TDP2	159	637	458	656	607	410	179	89	452	833	584	831	359	655	836	684
TDRD1	1	1	2	22	8	1	1	0	0	1	0	1	2	2	2	0
TDRD10	0	0	0	3	1	0	0	1	1	2	0	12	5	10	2	0
TDRD12	0	0	0	0	26	4	11	0	0	0	0	0	2	2	0	1
TDRD15	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
TDRD3	449	254	254	340	292	219	73	38	193	49	120	390	167	258	181	171
TDRD5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TDRD6	53	5	2	1	2	52	2	0	4	4	3	4	0	2	2	1
TDRD7	50	164	114	137	138	111	10	6	12	14	28	191	22	67	23	31
TDRD9	5	23	15	9	23	178	1	1	0	0	29	81	6	15	1	13
TDRG1	0	0	0	2	1	2	1	0	1	0	1	0	0	17	0	0
TDRKH	87	192	197	194	226	166	32	41	156	110	364	126	169	262	258	272
TDRP	0	0	1	1	1	0	0	0	1	0	0	0	0	3	0	1
TEAD1	0	28	84	7	44	0	10	7	31	37	29	20	23	54	80	10
TEAD2	0	4	1	2	0	0	0	0	0	1	0	5	0	0	0	0
TEAD3	0	20	12	42	16	15	1	0	1	3	1	8	0	0	0	0
TEAD4	19	18	0	51	22	36	7	1	2	2	2	38	4	11	3	4
TEC	162	221	214	271	202	279	53	16	50	117	65	419	56	259	133	114
TECPR1	818	295	242	409	275	526	274	229	655	438	628	746	443	709	433	562
TECPR2	241	182	147	349	167	283	139	92	260	232	331	407	184	276	250	294
TECR	2367	1576	1378	1653	1639	2267	1276	1367	3002	507	1171	5805	1668	2814	1870	1621
TECRL	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0
TECTA	1	1	4	4	9	15	5	0	3	60	51	5	3	7	4	27
TECTB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEDDM1	0	1	2	1	1	4	4	8	3	4	5	8	3	7	4	4
TEF	145	90	66	105	65	49	19	7	34	12	27	145	18	32	26	9
TEFM	231	213	154	438	225	199	102	87	438	91	228	590	203	557	350	263
TEK	0	0	0	0	0	8	0	0	0	0	0	2	0	2	0	0
TEKT1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEKT2	0	1	0	0	0	1	0	4	1	0	1	10	1	1	1	2
TEKT3	18	1	0	0	2	4	0	0	0	0	0	14	0	1	0	0
TEKT4	11	2	2	1	0	3	3	2	0	0	6	0	1	0	3	0
TEKT4P2	50	18	11	26	3	7	4	1	2	0	1	0	2	10	11	2
TEKT5	17	1	0	1	1	3	1	0	1	0	1	19	3	3	0	1
TELO2	4593	1062	787	1678	962	1221	1030	686	1554	298	614	2445	1193	1254	903	885
TEN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEN1-CDK3	0	8	4	27	20	14	9	3	1	2	11	8	3	12	6	8
TENM1	0	1	2	3	1	5	1	0	9	27	16	6	1	9	10	17
TENM2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TENM3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TENM4	0	0	0	0	0	0	0	2	0	0	0	2	0	2	0	0
TEP1	397	258	125	231	181	242	36	26	59	52	56	501	50	106	60	66
TEPP	0	0	0	0	3	1	0	0	3	0	0	8	1	0	0	0
TERC	51	3	11	9	3	7	29	36	24	10	11	37	20	20	20	17
TERF1	86	149	126	235	199	95	44	24	181	67	203	175	140	237	234	159
TERF2	422	360	252	362	368	364	124	112	324	144	370	551	273	665	337	351
TERF2IP	538	1390	1340	2982	1604	2430	1132	730	3941	12360	12154	3208	3245	5420	8213	8855
TERT	5	1	1	1	2	12	0	2	0	1	1	61	0	2	0	0
TES	80	54	32	128	86	117	35	17	13	17	98	191	24	422	22	40
TESC	1897	2191	2036	3548	2464	3936	6581	6268	15655	14451	8231	17347	10075	9743	12842	12628
TESC-AS1	0	0	1	1	0	0	2	0	0	3	1	3	0	0	0	0
TESK1	657	289	203	320	317	622	60	45	221	92	272	484	208	498	235	300
TESK2	127	148	186	132	211	231	37	38	247	102	437	162	137	481	223	211
TESPA1	1092	685	500	678	597	1101	48	20	80	390	747	1095	143	165	84	260
TET1	24	11	17	12	19	4	1	0	12	0	6	40	6	15	9	3
TET2	112	233	142	206	233	200	27	11	88	125	255	546	113	352	153	130
TET2-AS1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
TET3	213	572	457	1180	731	514	397	220	1232	1082	3294	928	993	2125	1709	1952
TEX10	888	658	491	654	600	581	223	113	368	222	295	1018	321	562	511	374
TEX101	0	0	2	2	2	4	1	3	7	4	3	20	1	3	2	3
TEX11	26	1	3	11	4	4	4	4	18	8	22	39	3	9	10	7
TEX12	0	6	1	4	2	0	2	3	5	0	6	0	1	7	2	4
TEX13A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEX13B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEX14	0	6	2	6	3	5	15	9	23	16	34	26	22	24	22	33
TEX15	0	5	7	11	9	4	0	0	0	0	0	2	0	5	1	0
TEX19	0	1	1	0	4	13	0	0	0	0	5	0	0	4	0	2
TEX2	268	655	486	811	622	397	160	84	616	451	1168	760	479	981	700	650
TEX21P	25	2	3	1	2	1	2	2	3	1	3	1	1	9	4	3
TEX22	70	14	12	26	18	42	25	19	42	16	11	49	16	21	21	11
TEX26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEX26-AS1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
TEX261	1540	1906	1023	1432	1367	1186	416	248	969	462	1421	1421	782	1825	791	1168
TEX264	1906	560	428	622	514	971	315	260	434	89	163	2239	341	508	388	256
TEX28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEX29	138	1	2	5	1	6	5	2	5	0	3	13	3	6	3	4
TEX30	40	446	271	668	400	304	153	73	561	176	475	597	433	1088	666	499
TEX33	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
TEX35	0	2	0	0	0	1	0	0	0	0	0	1	0	1	0	0
TEX36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEX36-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEX37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEX38	26	0	1	2	3	2	13	15	31	5	4	14	17	16	14	7
TEX40	0	1	3	4	0	3	8	14	5	4	1	11	2	5	6	5
TEX41	12	1	1	0	1	1	1	2	1	0	0	6	0	0	0	0
TEX43	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
TEX9	0	46	25	50	47	9	5	2	18	6	11	20	18	46	20	14
TF	27	1	0	4	0	1	2	1	5	1	6	22	5	17	4	3
TFAM	246	940	617	926	822	297	123	85	295	92	319	465	311	620	495	345
TFAMP1	20	6	3	5	4	4	1	8	9	1	7	6	6	7	4	10
TFAP2A	0	2	1	2	4	2	0	0	1	0	0	3	0	1	2	0
TFAP2A-AS1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
TFAP2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
