"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"CDC27",9.48231449938214,9.59160442056327,9.57152792523825,9.40991694810045,9.53893296928643,9.68030522758881,9.50936329199485,9.41298857048155,9.69182259234497,9.48754265226334,9.64197266658317,9.71545686496141,9.72168293155354,9.71670059442588,9.52501973283419,9.43423254683287,9.63261500227255
"SLC4A1",12.0558044094596,13.4064809111159,12.1836977099064,13.6444500316134,12.871149924025,9.70106597235833,13.3075430165401,12.8368037585986,14.7253762186674,12.6507922187255,14.6689375388663,9.28606805390223,9.10226809741753,10.8056725243774,14.9021397844246,11.2959957755952,13.6065199771617
"CALCR",3.96838625440929,3.96838625440929,3.96838625440929,4.44888980823965,3.96838625440929,4.23605059457394,3.96838625440929,3.96838625440929,3.96838625440929,3.96838625440929,4.36502435988646,3.96838625440929,3.96838625440929,3.96838625440929,3.96838625440929,4.77083477400325,3.96838625440929
"HCCS",8.66435285451245,8.35294336851201,8.6415380573749,8.53383811671451,8.40622209278984,8.38713613537766,8.33535018150479,8.76934152846823,8.49231530456587,8.4090511862322,8.33203865320747,8.4668152170179,8.52023773773384,8.41155576967644,8.68051867941782,8.42471794200612,8.67807556509266
"DVL2",9.34852191318597,9.29480844456767,9.302605693857,9.2193550105018,9.11591396907926,9.23892893937971,8.99409788312769,9.01723658113851,9.20165127662081,9.22070846481617,9.34177650943549,9.30179878593572,9.40303633329104,9.14457755046178,8.97377155367914,9.03683627850263,8.96532870389241
"PRSS22",4.53379748514992,5.69891086301703,5.07458348138747,5.12000314825889,4.34945651660655,4.95216031004612,4.52715231595466,4.41111773367661,4.57076539595943,4.64707772574872,4.99904289446939,5.19289728790751,5.30734451525099,5.26600235382202,5.172223439497,4.77083477400325,4.77386244494449
"UPF1",11.3778782311032,11.7884283036917,11.5546107030368,11.7929966918083,11.2785014434764,10.8592091220566,11.3304852073114,12.0260041108671,11.8656428220648,11.595801249095,11.9400813682665,11.3383963245864,11.3078232492729,11.5171109199343,11.4025223174455,11.7047714518377,11.524309885318
"SKAP2",10.6400365442962,11.2291978223746,11.138962718596,10.8765668554381,11.089252663981,10.4359450038393,10.882698126011,12.0156880199275,11.3261194993746,10.5655582981334,11.0592393845805,10.2152640342039,10.1389188735047,11.3461694600897,10.6658252848252,11.0653867529824,11.1618898088162
"SLC25A5",11.8744678682897,11.3797507377462,11.6451129688188,11.5477756946052,11.426330597686,11.5305704977849,11.425209627322,11.6018541678361,11.4668385890197,11.6559337602867,11.2624005375024,11.3629582855427,11.477327102242,11.1496689745588,11.7404258173044,11.7255600415246,11.7550098664979
"MCUB",10.1962416364694,9.78135904372588,10.0525674842946,9.75398686867314,10.2703306816874,10.4126823313652,10.4591807930189,9.91968369048258,9.81892213371851,10.2804774728123,9.62030284851319,9.97285684583207,9.92954186132894,9.95554312175521,10.0617826298713,10.0425604281625,9.99557116833327
