"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"RBM6",9.6131066406891,9.35180796191788,9.32386345796033,10.0351270108183,9.02205381478487,9.41019201093379,9.54552404358005,9.59951075041141,9.02801263737673,9.59279203112599,9.5065770697422,9.43833859867689,9.43099270265614,9.49138270094199,9.73403215026023,9.47217108100055,9.54055229868782,9.62819469649985,9.52117302217894,9.33640343514495,9.4403963937985,9.45675771980992,9.56896536450717
"CAMKK1",7.06261398864664,7.41275695928641,6.71066160832709,8.1498240325454,7.61870675434059,6.7751184819166,6.80461166847996,7.1229031989553,6.69353245525385,7.15359760666788,7.36152444440828,6.95524581986889,6.40015965680125,6.88848581028771,7.31736965514658,7.40906195315089,7.41684530353481,7.07444859725626,7.18154703392302,6.73957537310706,6.89844920587507,6.33122756557947,6.88053929594256
"RECQL",8.30036179778017,8.24159739556113,8.23124995616596,7.92514194703416,7.93543756768281,8.34721274450532,8.34299905461227,7.78836208430674,8.08715938242473,8.20463760436717,8.47616790767341,8.47841067993782,8.28959533945653,8.28092674387646,8.18186822929905,8.18692027580195,8.18542586617587,8.04019824713649,8.37335895393878,8.03861980412285,8.21042748152874,8.6407653974426,8.41295734483757
"VPS50",7.46837667288746,7.05012252180035,7.02275516933756,7.68772362611345,7.24577692216682,7.40445020316344,7.90766748800598,7.13548784356268,7.37763380918032,7.16667291539999,7.51535830129476,7.33117706762403,7.2869500764936,7.30897778419899,7.1689708023443,7.04775153873919,7.36269651571351,7.11869615353098,7.40119497357251,7.16669736586179,7.29374138907235,7.40627624579739,7.46164250247552
"HSPB6",3.20179343847135,3.79396783914421,3.63553256927641,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.76045889046872,3.20179343847135,3.65456418267092,3.87003359966719,3.62156910771811,3.75964233691547,3.20179343847135,3.20179343847135,3.20179343847135,3.96063317628585,3.64013037388862
"ARHGAP33",5.41047230882951,5.19065478518913,5.37504882914798,4.78703815797264,5.06595837344013,5.57145215666409,5.65881344927011,5.86516261727112,6.1679283211224,5.95937705401974,5.28153468683781,5.40071097797893,5.60878709090255,5.41973894269997,5.42382311705233,5.56774349626142,5.31505648278277,5.51743284939958,5.65262548255311,4.86973447894274,5.36016520501257,5.56119087972983,5.72099886783513
"NDUFAB1",7.34303972291522,6.90546086179804,6.51116093259899,9.94817654806767,7.25694181039322,7.37739648878847,6.6732653864811,7.01802719199578,7.308000182127,7.30313108871367,7.18393431676825,7.28578738715248,7.03249845531561,6.82926288643394,7.03403148713271,6.78231744670322,6.78401626320588,6.88232817048665,6.51801197751145,7.21211583361047,6.92263941426642,6.73020935017378,7.01142338887412
"PDK4",6.11734588985581,6.10966887810928,6.67533082250952,6.57351132757044,7.70263185679301,5.48386478008047,7.11359904377533,6.79783807436385,7.41122212906349,6.22330824538564,7.20995620793158,7.0343638473929,5.91424516813044,6.48928741960608,6.42533750699007,7.14011764126797,6.29486670002951,5.728494798219,7.00332305946351,6.12565517257455,7.40066895672247,7.8228144833413,6.15250605365556
"SLC22A16",4.04897921789082,5.25529936374417,5.02506469874719,5.6269178579945,5.40067483655161,4.90289378226147,5.72829545670549,4.70605940998036,4.96904641906666,4.86003929136669,5.60964154334978,4.6737453470099,5.32327340874697,5.03238661154696,4.9174251165893,5.45744379030893,5.48386907022068,5.42269445763862,4.80580332779407,5.14840484647588,5.47828297052037,5.40790153767179,4.47968139179574
"ZMYND10",5.0040060209977,4.84940125191338,4.46698326224319,4.1467933476902,4.3258720059339,4.60509181191233,4.44305760699067,4.62654532207549,3.20179343847135,4.37733943768643,5.03044562046226,5.00780757016395,4.5312622585414,4.89545349571422,4.44852712731523,4.27769986924554,4.54941680751138,4.88054945886713,4.80580332779407,4.58696442993971,4.92199925594861,4.4366967732234,5.2650941487602
