"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"RBM5",12.2458661354395,12.3560631602943,12.1170919615623,12.3294639825778,12.4397165130285,12.1153948330756,12.3339750060397,12.3237526838304,12.2070996332948,12.3499517039486,12.4401554915209,12.2660547383115,12.2475265588935,12.4185286474165,12.3614072779666,12.2244969935507,12.2124453769263
"MTMR7",4.27114762010604,4.27114762010604,4.27114762010604,4.76008476661372,4.27114762010604,4.27114762010604,4.27114762010604,4.6160004417573,4.90032536509011,4.27114762010604,4.27114762010604,4.27114762010604,4.27114762010604,4.27114762010604,4.27114762010604,4.55882240847412,4.27114762010604
"ARF5",11.293748558824,11.0591558784455,11.2905850620167,10.9920444900161,10.6101791522775,11.335453305993,11.1568913866662,11.5021308412192,11.5529372228484,11.5610835418589,11.2724120520581,10.7540806724074,10.9435618469628,11.0780532217987,11.2274872743197,11.5321719414142,11.3213633187142
"SARM1",9.28814310105057,9.47169203020923,9.37564659406229,9.4436607051389,9.28003655299251,9.28202117445312,9.43466675364935,9.07105766200389,8.75899424707145,8.95336030407256,9.27092922671905,9.46189326406212,9.40081281666194,9.0606062156312,9.28962396969776,9.24974354970151,9.36227448920988
"POLDIP2",10.2728319614646,10.0961645661094,10.2622580535983,9.96885748171256,9.67891960842394,10.201126207651,10.1509523021094,10.2394384831961,10.2136145228017,10.1679341110317,10.2304310174249,10.1044838568892,10.124744284327,10.0423974098784,10.2002632731218,10.1476704533252,10.1077308939694
"PLXND1",10.1526959794613,10.5841614618929,10.7131268158249,10.5140860229588,9.87983167746264,9.71577771756139,9.78488239070355,10.2127279633879,9.44801752081666,9.83658383709806,10.4276610850458,10.3611012152275,10.1279335238504,10.5130317640558,9.9952427029949,10.4086862809613,10.3925304083124
"AK2",11.2762314084105,11.0501650716827,11.1398691187706,10.8609624842797,11.1222159342538,11.2638799858939,10.8995749032914,11.1177467853173,11.119431827852,11.0255710525319,11.2553785503622,11.2162311239424,11.29690492226,11.0419063007542,11.0210212528338,10.9770548994883,11.2024549769627
"CD38",9.43079307322251,9.19605139352546,8.6666265094916,9.74613568268096,9.77270717530616,9.46349676905802,9.33197957198539,9.1799634226397,9.43250975642965,9.44416884030894,9.64864314250864,9.65157585691709,9.52460366201218,9.41699505162882,10.3193092914874,8.93435753661674,9.30513699521979
"FKBP4",10.4895935371482,9.86481517254521,10.1267235429421,10.0007472806555,9.96711541270577,10.3019047232099,9.83366054940782,9.81296847556155,10.0352600305578,9.80272909744693,10.0918865553469,10.2252904112734,10.2500424882725,9.81240628434095,9.94872053923612,10.0988374358885,10.269996594245
"KDM1A",10.3546058022702,10.048329765496,10.0490508616105,10.0968236771278,10.1510059769451,10.2742653482326,10.2643969684235,10.0212821784305,9.91213028021212,9.76571880691597,10.2566112325459,10.1892405163743,10.1679897965123,10.0222016132193,10.0333607901361,10.0110719866474,10.0739424944624
"RBM6",11.2933339463729,11.2317939065701,11.1353412983839,11.2512150018648,11.7686770559285,11.073327785096,11.1965770290989,11.2063715522437,11.4604585117255,11.3885535059931,11.4457782299967,11.5154932625371,11.4216661540927,11.2858228853042,11.6821677285785,11.6142209397462,11.2933290230301
"CAMKK1",8.38980887471834,9.30946575867254,9.12703970458192,9.01100260054072,8.63039288512311,9.18191779635456,9.15381719419107,9.4301681056751,9.08108331779012,9.31878053732345,9.2439431586101,8.94891299189946,9.04332154106263,9.01222731849173,9.25895122278266,8.96140149781422,9.01558901429028
"RECQL",10.0296226938566,9.67802878303907,9.88761372893734,10.1715689673447,10.4813053898684,10.0390334625499,9.57519772815665,10.0396374388361,9.77749266578527,9.99486788446922,9.48104495667117,10.248145546622,10.2434415680403,10.2284097927711,10.0499839580696,10.1815655742393,10.1290412049064
"VPS50",9.00554612196807,8.94726514597838,8.7605277595131,8.87291538673112,9.27572147132541,8.95287905270213,8.69599014242805,8.62019072567764,8.50054528717035,8.89021057560822,8.56596887162669,9.01509282364377,9.07509395871163,8.97694718521368,8.7251957153239,8.74496503332234,8.86547438451394
"HSPB6",4.54956569517577,4.73795736512214,4.27114762010604,4.27114762010604,4.78476311005868,4.27114762010604,4.27114762010604,4.27114762010604,4.27114762010604,4.27114762010604,4.27114762010604,4.52068489581009,4.71625998173381,4.27114762010604,4.83946194761259,4.76778501189447,5.03034631500662
"ARHGAP33",7.025129715155,7.13946145291162,7.54782003497499,7.49962089847501,7.20339043549292,7.08859220157596,7.22227651005446,7.27441193392122,6.67415186849267,6.82068515280513,7.74543686806743,7.50250329301375,7.23246538695231,7.04191224662667,7.35594292087385,7.10413693605156,6.78141699601237
"NDUFAB1",9.17735378144525,8.46195361424906,8.80036964297704,8.48281172787173,9.07178715513185,8.98104973085551,8.81755219080505,9.03488067952759,8.84359696411362,8.85536135234052,8.46872954982604,8.65706605427789,8.96514824597293,8.55512590092704,8.70781017241997,8.95244322551203,8.98471428407742
"PDK4",8.97065701595814,7.60540733162433,8.54675027149357,8.96966042023203,9.12073806465707,7.2342061906328,8.7273583280455,8.66036287760888,7.87508138372186,8.6921024378157,8.03082427113125,8.56939510332608,8.74362399285333,8.81241300374351,8.60635953169654,8.99232326051961,8.65268497424852
"SLC22A16",6.17833223486076,6.64599591102171,6.14396635070747,5.5720510973497,5.97715860392712,5.23116042313137,5.38658845693937,7.0093854030716,6.14258916459478,5.8068326111522,6.09492268411433,5.84868039771996,5.94455055136973,6.14390132508386,5.58671400392585,5.45976725958182,6.41470746927406
"ZMYND10",6.22390262600408,6.15174094793372,6.80802999218823,6.53626600629747,5.87946914588068,6.14135865321749,6.4052131890403,6.26690046695366,6.49918801914584,6.16109936699369,6.36602907041007,6.32735157301514,6.08087955869862,6.46974282503825,6.49384591746413,6.81151402669006,6.47815447721578
